confidence,decision,description,full_address,google_first_review_date,google_first_seen,google_place_id,name,opening_date,osm_first_added,osm_last_edit,osm_last_edit_age_days,quality_score,reasons,source,tags
Low,Needs editing,japanese cuisine,"Kalevankatu 21, 00100 Helsinki, FI",,,,Domo,,,2025-09-18T17:08:42Z,140,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Kalevankatu 9, 00100 Helsinki, FI",,,,Konditoria Briossi,,,2025-09-13T13:36:38Z,145,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,,"Annankatu 27, 00100 Helsinki, FI",,,,Café Berry,,,2025-08-30T13:54:16Z,159,90,missing_description,OpenStreetMap,cafe;confidence:medium;outdoor_seating:yes
Low,Needs editing,nepalese cuisine,"Lapinlahdenkatu 17, 00180 Helsinki, FI",,,,Swad Nepal,,,2025-08-20T07:32:23Z,169,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;restaurant
Low,Needs editing,indian cuisine,Salomonkatu 19,,,,Tandoor,,,2025-09-17T10:40:47Z,141,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:indian;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes
Low,Needs editing,burger cuisine,"Fredrikinkatu 48, 00100 Helsinki, FI",,,,McDonald's,,,2025-08-20T03:42:35Z,169,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes
Low,Needs editing,,"Mikonkatu 9, 00100 Helsinki, FI",,,,Ravintola Penélope,,,2025-09-30T14:44:29Z,128,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Pakilantie 124, 00670 Helsinki",,,,Kahvila Palomaja,,,2025-10-06T19:07:46Z,122,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,,"Gustaf Hällströmin katu 2, 00560 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes
High,Remove,burger cuisine,"Vuotie 4, 00980 Helsinki",,,,Hesburger,,,2025-11-10T18:12:11Z,87,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes
Low,Needs editing,pizza cuisine,"Meri-Rastilan kuja 2, 00980 Helsinki",,,,Cortana express,,,2025-11-09T20:54:18Z,88,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;restaurant
Low,Needs editing,burger cuisine,"Linnavuorentie 30, 00950 Helsinki",,,,Rolls Express Itäväylä,,,2025-11-22T09:38:57Z,75,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,chinese cuisine,"Kalevankatu, 00100 Helsinki, FI",,,,Happy Food Garden,,,2025-09-18T17:08:43Z,140,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,japanese cuisine,"Miina Sillanpään katu 8, Helsinki, FI",,,,Lumi,,,2026-01-28T12:45:51Z,8,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;restaurant
Low,Needs more information,"pizza, burger, indian cuisine",,,,,Yamy Bar,,,2026-01-28T12:45:51Z,8,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:indian;cuisine:pizza;restaurant
Medium,Keep,"italian, pizza, new_york, american, pasta cuisine","Hakaniemenkatu 7, 00530 Helsinki, FI",,,,Belmont,,,2025-09-23T19:16:02Z,135,100,,OpenStreetMap,confidence:medium;cuisine:american;cuisine:italian;cuisine:new;cuisine:pasta;cuisine:pizza;cuisine:york;restaurant
Low,Needs editing,sushi cuisine,"Kolmas linja 16, 00530 Helsinki",,,,Roji,,,2025-08-08T14:36:22Z,181,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant
Low,Needs editing,thai cuisine,"Kolmas linja 12, 00530 Helsinki",,,,Lemon Grass,,,2025-08-08T14:36:27Z,181,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant
Low,Needs editing,,"Ratapihantie 9, 00520 Helsinki",,,,Ravintola Vaunu,,,2025-12-15T16:42:41Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,"burger, wings cuisine","Mannerheimintie 130, 00270 Helsinki",,,,Mullikka,,,2025-10-08T19:16:17Z,120,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:wings;delivery:yes;outdoor_seating:yes;restaurant
Low,Needs editing,pizza cuisine,"Ristipellontie 25, 00390 Helsinki",,,,Kotipizza,,,2025-09-26T16:57:28Z,132,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes
Low,Needs editing,"japanese, chinese cuisine","Ristipellontie 25, 00390 Helsinki",,,,Raku,,,2025-10-16T14:40:48Z,112,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant
Medium,Keep,"coffee_shop, ice_cream, sandwich cuisine","Kotkankatu 4, 00510 Helsinki, FI",,,,Lintsi Cafe,,,2025-12-28T11:08:20Z,39,100,,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:cream;cuisine:ice;cuisine:sandwich;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Medium,Keep,"cake, coffee_shop, ice_cream, tea cuisine",Aleksanterinkatu 21,,,,Roberts Coffee Citykäytävä,,,2025-09-28T12:30:58Z,130,100,,OpenStreetMap,cafe;confidence:medium;cuisine:cake;cuisine:coffee;cuisine:cream;cuisine:ice;cuisine:shop;cuisine:tea;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,,"Aleksanterinkatu 50 B, 00100 Helsinki, FI",,,,La Torrefazione,,,2025-11-07T09:01:05Z,90,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:no
Low,Needs editing,,"Aleksanterinkatu 46, 00100 Helsinki, FI",,,,Amarillo,,,2025-10-27T16:06:42Z,101,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs more information,pizza cuisine,,,,,Izza,,,2025-09-06T10:51:26Z,152,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:vegetarian:yes;fast_food;outdoor_seating:yes
Low,Needs editing,french cuisine,"Pohjoisesplanadi 37, 00100 Helsinki",,,,Brasserie Lionne,,,2025-12-30T11:51:49Z,37,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:french;outdoor_seating:yes;restaurant
Low,Needs editing,chinese cuisine,Vanha viertotie 18,,,,Ren He,,,2025-11-12T08:41:13Z,85,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,pizza cuisine,"Jääkärinkatu 15a, 00150 Helsinki, FI",,,,Eira Plaza,,,2025-09-13T12:08:24Z,145,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:no
Low,Needs editing,"thai, sushi cuisine","Annankatu 6, 00120 Helsinki, FI",,,,Haru Plus Sushi,,,2026-01-27T13:13:54Z,9,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;cuisine:thai;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,"pizza, kebab, burger, vöner cuisine","Fredrikinkatu 61-B, 00100 Helsinki, FI",,,,Fredi Pizzeria,,,2025-10-04T14:20:49Z,124,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:kebab;cuisine:pizza;cuisine:vöner;diet:vegan:yes;outdoor_seating:no;restaurant
Low,Needs editing,brunch,"Kalevankatu 13, 00100 Helsinki, FI",,,,Passio,,,2025-09-13T13:32:40Z,145,90,description_too_short,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,pizza cuisine,"Roihuvuorentie 26, 00820 Helsinki",,,,Kotipizza,,,2025-08-10T17:57:48Z,179,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;fast_food;outdoor_seating:no;takeaway:yes
Low,Needs editing,,"Fredrikinkatu 19, 00120 Helsinki, FI",,,,Patisserie Teemu Aura,,,2025-09-13T12:12:11Z,145,90,missing_description,OpenStreetMap,cafe;confidence:medium;outdoor_seating:yes
Low,Needs editing,nepalese cuisine,"Hiihtäjäntie 1, 00810 Helsinki",,,,Gurkha,,,2025-08-09T12:32:26Z,180,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,thai cuisine,Pohjoinen Makasiinikatu 7,,,,Ho Khao,,,2025-10-18T05:39:42Z,110,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;restaurant
Low,Needs more information,,,,,,Eromanga,,,2025-08-06T15:03:29Z,183,75,missing_address;missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,,"Uudenmaankatu 9, 00120 Helsinki, FI",,,,Café Bar No 9,,,2025-11-27T11:04:30Z,70,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,local cuisine,"Uudenmaankatu 9, 00120 Helsinki, FI",,,,Boreal,,,2025-11-27T11:04:30Z,70,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:local;restaurant
Low,Needs editing,japanese cuisine,"Lönnrotinkatu 2, 00100 Helsinki, FI",,,,Luckiefun’s Sushi Buffet Helsinki,,,2025-11-03T12:14:04Z,94,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,italian cuisine,"Pohjoisesplanadi 9, 00170 Helsinki",,,,Bacco,,,2025-11-07T10:25:56Z,90,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,pizza cuisine,"Kalevankatu 6, 00100 Helsinki, FI",,,,Putte's Bar & Pizza,,,2025-09-13T13:39:23Z,145,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;restaurant
Low,Needs editing,thai cuisine,"Töölönlahdenkatu 3, 00100 Helsinki",,,,Zaap,,,2025-09-26T16:10:03Z,132,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs more information,,,,,,Cafe Mustasaari,,,2025-10-26T09:46:43Z,102,75,missing_address;missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs more information,chinese cuisine,,,,,China Wall,,,2025-10-04T11:41:41Z,124,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,italian cuisine,"Pohjoisesplanadi 21, 00100 Helsinki",,,,Il Siciliano,,,2025-10-19T13:41:54Z,109,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,"persian, arab cuisine","Erottajankatu 4, Helsinki, FI",,,,Nefer Nefer Nefer,,,2025-12-18T06:09:36Z,49,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:arab;cuisine:persian;restaurant
Low,Needs editing,sushi cuisine,Töölönkatu 51 A,,,,Sushibar + Wine,,,2025-12-11T05:47:05Z,56,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Töölönkatu 37, 00260 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Näyttelijäntie 14 B, 00400 Helsinki",,,,Ravintola Dhaka Grilli,,,2026-01-28T12:22:59Z,8,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,vietnamese cuisine,"Siltasaarenkatu 3-5, 00530 Helsinki",,,,Trần Tịnh,,,2025-12-28T21:18:54Z,39,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:vietnamese;diet:halal:no;diet:kosher:no;diet:vegan:only;diet:vegetarian:only;restaurant
Low,Needs editing,,"Turunlinnantie 1, 00900 Helsinki",,,,Kahvila Stoa,,,2026-01-12T05:56:17Z,24,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,"friture, burger cuisine","Töölönlahdenkatu 3, 00100 Helsinki, FI",,,,Hungry Hub,,,2025-09-19T11:46:04Z,139,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:friture;fast_food
Low,Needs editing,"sandwich, salad, burger cuisine","Varikkotie 4, 00900 Helsinki",,,,Chill out Cafe,,,2025-11-14T12:56:28Z,83,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:salad;cuisine:sandwich;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes
Low,Needs editing,japanese cuisine,"Kolmas linja 18, 00530 Helsinki",,,,"Kampai 3""",,,2025-08-08T14:36:21Z,181,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;outdoor_seating:yes;restaurant
Low,Needs editing,,Pieni Roobertinkatu 1,,,,Krog Roba,,,2025-10-17T05:12:42Z,111,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Junailijanaukio 3, 00520 Helsinki",,,,Insinöörit & Ekonomit,,,2025-12-15T16:42:41Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Ratamestarinkatu 11, 00520 Helsinki",,,,Ravintola Ratamestari,,,2025-12-15T16:42:41Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,asian cuisine,"Opastinsilta 10, 00520 Helsinki",,,,Mala House,,,2025-12-15T16:42:41Z,52,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:asian;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,"international, cafe cuisine","Asemapäällikönkatu 3, 00520 Helsinki",,,,Outrun Cafe,,,2025-10-20T14:21:54Z,108,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:cafe;cuisine:international;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,,"Fredrikinkatu 58, 00100 Helsinki, FI",,,,Twisted Street Kitchen,,,2025-09-12T08:10:38Z,146,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs more information,,,,,,Fazer Café,,,2025-08-29T19:05:09Z,160,75,missing_address;missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,pizza cuisine,"Puotilan metrokatu 1, 00910 Helsinki",,,,Pizza Kebab Puotilan Säde,,,2025-10-04T06:04:53Z,124,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food
Low,Needs editing,thai cuisine,"Lapinlahdenkatu 9, 00180 Helsinki",,,,Thai Vegan Kitchen,,,2025-08-12T13:58:00Z,177,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;diet:halal:yes;diet:kosher:yes;diet:vegan:only;diet:vegetarian:only;outdoor_seating:yes;restaurant;takeaway:yes
Low,Needs editing,,"Klaneettitie 5, 00420 Helsinki",,,,Cafe Hiekka Kanneltalo,,,2026-01-19T21:25:03Z,17,90,missing_description,OpenStreetMap,cafe;confidence:medium
Low,Needs editing,,Eteläranta 20,,,,Finlandia Caviar,,,2025-11-07T10:25:57Z,90,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,nepalese cuisine,"Valimotie 2, 00380 Helsinki",,,,Akhanda Nepalilainen Ravintola,,,2025-12-13T14:08:40Z,54,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;diet:chicken:yes;diet:fish:yes;diet:gluten_free:yes;diet:lactose_free:yes;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant;takeaway:yes
Low,Needs editing,turkish cuisine,"Kauppakartanonkatu 7 A, 00930 Helsinki",,,,Lezzet Anatolia,,,2025-11-22T17:35:59Z,75,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:turkish;restaurant
Low,Needs editing,,"Punavuorenkatu 3, 00120 Helsinki, FI",,,,Karppi,,,2025-08-10T10:33:52Z,179,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Korkeavuorenkatu 7, FI",,,,Robert's Coffee,,,2025-10-19T16:34:38Z,109,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,pizza cuisine,"Laivurinkatu 10, 00150 Helsinki, FI",,,,Skiffer Viiskulma,,,2025-09-13T12:08:27Z,145,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,,"Pursimiehenkatu 27, 00150 Helsinki, FI",,,,Basbas Studio,,,2025-12-23T12:06:48Z,44,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Uudenmaankatu 17, Helsinki, FI",,,,Hymy Hetki,,,2025-09-17T08:39:46Z,141,90,missing_description,OpenStreetMap,cafe;confidence:medium;outdoor_seating:yes
Low,Needs editing,,"Fabianinkatu 4, Helsinki, FI",,,,Zucchini,,,2025-08-12T12:10:07Z,177,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:only;restaurant
Low,Needs more information,,,,,,Restaurant Haven,,,2025-10-19T09:26:33Z,109,75,missing_address;missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Fredrikinkatu 25, 00120 Helsinki, FI",,,,Relove,,,2025-09-13T12:12:55Z,145,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,,"Yliopistonkatu 5, 00100 Helsinki",,,,Caverna,,,2025-12-07T14:53:11Z,60,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:no;outdoor_seating:no;restaurant
Low,Needs editing,syrian cuisine,"Lönnrotinkatu 15, 00120 Helsinki, FI",,,,Karaz,,,2025-11-02T12:08:49Z,95,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:syrian;restaurant
Low,Needs editing,,"Vaasankatu 15, 00100 Helsinki",,,,Just vege,,,2025-08-16T12:49:43Z,173,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:only;restaurant
Low,Needs editing,mexican cuisine,"Yrjönkatu 29, 00100 Helsinki, FI",,,,Suburritos,,,2025-11-12T08:42:54Z,85,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:mexican;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes
Low,Needs editing,On weekdays we serve lunch from 11.00,"Pohjoisesplanadi 37, 00100 Helsinki, FI",,,,Cafe Esplanad,,,2025-12-23T21:23:53Z,44,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:no
Low,Needs editing,pizza cuisine,Kampinkuja 2,,,,Barbarossa Pizza & Kebab,,,2025-12-30T12:07:45Z,37,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant
Low,Needs editing,,"Bulevardi 7, 00120 Helsinki, FI",,,,Fazer Café,,,2025-11-22T12:41:13Z,75,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,vietnamese cuisine,"Urho Kekkosen katu 7, 00100 Helsinki, FI",,,,Ha Noi Quan,,,2025-08-10T11:06:14Z,179,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:vietnamese;restaurant
Low,Needs more information,,,,,,Panorama Bistro,,,2025-10-16T11:46:57Z,112,75,missing_address;missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs more information,coffee_shop cuisine,,,,,Espresso House,,,2025-11-29T12:24:43Z,68,75,missing_address;description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;takeaway:yes
Low,Needs editing,italian_pizza cuisine,Humalistonkatu 3,,,,Daddy Greens Pizzabar,,,2025-09-17T13:14:00Z,141,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;cuisine:pizza;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,nepalese cuisine,Pikkalankatu 5,,,,Makalu,,,2025-11-27T09:18:25Z,70,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant
Low,Needs more information,coffee_shop cuisine,,,,,Ihana Kahvila Baari,,,2026-01-27T12:41:05Z,9,75,missing_address;description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs more information,,,,,,Scandic Bistro Meilahti,,,2025-12-14T11:28:20Z,53,75,missing_address;missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Keskuskatu 7, 00100 Helsinki",,,,Deliberi,,,2025-09-06T10:51:29Z,152,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Keskuskatu 3 A, 00100 Helsinki",,,,Dylan Marmoripiha,,,2025-12-25T11:25:59Z,42,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs more information,thai cuisine,,,,,Cambo Thai,,,2025-08-16T21:39:16Z,173,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;restaurant
High,Remove,sandwich cuisine,,,,,Subway,,,2025-09-19T17:25:55Z,139,50,keyword:subway;missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:sandwich;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes
Low,Needs editing,brazilian cuisine,"Opastinsilta 2, 00520 Helsinki",,,,Pastelaria Brasil,,,2026-01-14T09:42:01Z,22,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:brazilian;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,coffee_shop cuisine,Helsinki,,,,La Torrefazione,,,2025-11-15T11:42:15Z,82,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,thai cuisine,"Aleksis Kiven katu 25, 00510 Helsinki",,,,Chuan Chim Thai Kitchen,,,2025-12-21T14:59:22Z,46,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:thai;diet:halal:no;diet:kosher:no;restaurant
Low,Needs more information,"pizza, kebab cuisine",,,,,Ella Pizza Kebab,,,2025-08-16T21:39:16Z,173,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:kebab;cuisine:pizza;restaurant
Low,Needs editing,,"Kolmas linja 12, 00530 Helsinki",,,,Café Cucca,,,2025-08-08T14:36:27Z,181,90,missing_description,OpenStreetMap,cafe;confidence:medium;outdoor_seating:yes
Low,Needs editing,coffee_shop cuisine,"Unioninkatu 36, 00170 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant
High,Remove,burger cuisine,"Isonpellontie 7, 00720 Helsinki",,,,Burger King,,,2026-01-25T12:05:28Z,11,65,keyword:burger king;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:no;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes
Low,Needs editing,,"Aleksanterinkatu 52, 00100 Helsinki",,,,Fazer Café 8th Floor,,,2026-02-03T05:46:23Z,2,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no
Low,Needs editing,,"Agricolankatu 9, 00530 Helsinki",,,,Way Bakery,,,2025-11-07T08:15:37Z,90,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,coffee_shop cuisine,"Topeliuksenkatu 17, 00250 Helsinki",,,,Fazer Cafe Töölö,,,2025-12-11T05:47:04Z,56,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,italian cuisine,"Länsisatamankatu 36, 00220 Helsinki",,,,Da Spizzico,,,2025-10-23T06:10:48Z,105,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,"uzbek, turkish cuisine","Itäkatu 1-7, 00930 Helsinki",,,,Qazan,,,2025-11-24T06:47:41Z,73,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:turkish;cuisine:uzbek;restaurant
Low,Needs editing,pizza cuisine,Malminkatu 16,,,,Broo,,,2026-01-31T00:47:45Z,5,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,coffee_shop cuisine,"Mannerheimintie 14-20, 00100 Helsinki, FI",,,,Joe & The Juice,,,2026-01-03T12:57:31Z,33,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;outdoor_seating:no;takeaway:yes
Low,Needs editing,coffee_shop cuisine,"Mannerheimintie 20, 00100 Helsinki, FI",,,,Arnolds,,,2025-12-23T16:19:14Z,44,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:no
Low,Needs editing,"mediterranean, middle_eastern cuisine","Itälahdenkatu 7, 00210 Helsinki",,,,Levant,,,2025-11-10T10:22:20Z,87,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:eastern;cuisine:mediterranean;cuisine:middle;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
